Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate.x	Heterozygosity.x	conScore.x	GenotypeRate.y	Heterozygosity.y	conScore.y
98	CAT_52508_043_S49_L001_R1_001	100296	20124	70721	9451	0.2	0.71	0.09	0.64	0.118	0.051	0.64	0.118	0.051
99	CAT_52508_046_S146_L001_R1_001	69166	3788	57531	7847	0.05	0.83	0.11	0.278	0.044	0.045	0.278	0.044	0.045
100	CAT_52508_046_S50_L001_R1_001	109411	27419	76051	5941	0.25	0.7	0.05	0.498	0.084	0.048	0.498	0.084	0.048
101	CAT_52508_047_S147_L001_R1_001	65600	3534	56864	5202	0.05	0.87	0.08	0.21	0.034	0.059	0.21	0.034	0.059
102	CAT_52508_047_S51_L001_R1_001	130003	35181	90447	4375	0.27	0.7	0.03	0.424	0.072	0	0.424	0.072	0
103	CAT_52508_052_S148_L001_R1_001	133480	7151	101495	24834	0.05	0.76	0.19	0.488	0.068	0.176	0.488	0.068	0.176
104	CAT_52508_052_S52_L001_R1_001	205964	33626	138783	33555	0.16	0.67	0.16	0.796	0.13	0.092	0.796	0.13	0.092
105	CAT_52508_056_S149_L001_R1_001	61134	3088	53779	4267	0.05	0.88	0.07	0.206	0.036	0.111	0.206	0.036	0.111
106	CAT_52508_056_S53_L001_R1_001	118714	23745	90674	4295	0.2	0.76	0.04	0.404	0.05	0.04	0.404	0.05	0.04
107	CAT_52508_062_S150_L001_R1_001	91504	4787	78703	8014	0.05	0.86	0.09	0.226	0.03	0	0.226	0.03	0
108	CAT_52508_062_S54_L001_R1_001	116101	28190	82402	5509	0.24	0.71	0.05	0.444	0.072	0.028	0.444	0.072	0.028
109	CAT_52508_064_S151_L001_R1_001	117567	5951	105554	6062	0.05	0.9	0.05	0.152	0.016	0.25	0.152	0.016	0.25
110	CAT_52508_064_S55_L001_R1_001	127250	28304	95189	3757	0.22	0.75	0.03	0.286	0.046	0.043	0.286	0.046	0.043
111	CAT_52508_065_S152_L001_R1_001	74417	3986	60494	9937	0.05	0.81	0.13	0.34	0.056	0.036	0.34	0.056	0.036
112	CAT_52508_065_S56_L001_R1_001	132425	25261	90862	16302	0.19	0.69	0.12	0.75	0.108	0.093	0.75	0.108	0.093
113	CAT_52508_069_S153_L001_R1_001	107860	5482	83146	19232	0.05	0.77	0.18	0.402	0.064	0.094	0.402	0.064	0.094
114	CAT_52508_069_S57_L001_R1_001	166082	31930	104015	30137	0.19	0.63	0.18	0.79	0.122	0.066	0.79	0.122	0.066
115	CAT_52508_070_S154_L001_R1_001	66041	3529	55712	6800	0.05	0.84	0.1	0.238	0.036	0.222	0.238	0.036	0.222
116	CAT_52508_070_S58_L001_R1_001	99625	28183	65223	6219	0.28	0.65	0.06	0.532	0.096	0.042	0.532	0.096	0.042
117	CAT_52508_078_S155_L001_R1_001	176935	8851	150473	17611	0.05	0.85	0.1	0.316	0.038	0.105	0.316	0.038	0.105
118	CAT_52508_078_S59_L001_R1_001	172357	34038	126426	11893	0.2	0.73	0.07	0.576	0.078	0	0.576	0.078	0
119	CAT_52508_079_S156_L001_R1_001	68811	2918	48015	17878	0.04	0.7	0.26	0.44	0.05	0.08	0.44	0.05	0.08
120	CAT_52508_079_S60_L001_R1_001	269784	32859	126681	110244	0.12	0.47	0.41	0.842	0.1	0.18	0.842	0.1	0.18
121	CAT_52508_086_S157_L001_R1_001	118398	6057	107092	5249	0.05	0.9	0.04	0.096	0.008	0	0.096	0.008	0
122	CAT_52508_086_S61_L001_R1_001	137231	30925	103426	2880	0.23	0.75	0.02	0.15	0.018	0	0.15	0.018	0
123	CAT_52508_087_S158_L001_R1_001	63791	3182	51912	8697	0.05	0.81	0.14	0.274	0.048	0.125	0.274	0.048	0.125
124	CAT_52508_087_S62_L001_R1_001	107059	24851	71258	10950	0.23	0.67	0.1	0.606	0.108	0.074	0.606	0.108	0.074
125	CAT_52508_088_S159_L001_R1_001	102477	4305	70007	28165	0.04	0.68	0.27	0.436	0.078	0.128	0.436	0.078	0.128
126	CAT_52508_088_S63_L001_R1_001	239057	29121	78925	131011	0.12	0.33	0.55	0.808	0.136	0.25	0.808	0.136	0.25
127	CAT_52508_090_S160_L001_R1_001	65131	3170	48077	13884	0.05	0.74	0.21	0.36	0.062	0.129	0.36	0.062	0.129
128	CAT_52508_090_S64_L001_R1_001	144427	26160	77929	40338	0.18	0.54	0.28	0.792	0.132	0.152	0.792	0.132	0.152
129	CAT_52508_091_S161_L001_R1_001	78813	3891	73050	1872	0.05	0.93	0.02	0.04	0.01	0.2	0.04	0.01	0.2
130	CAT_52508_091_S65_L001_R1_001	171219	36504	131948	2767	0.21	0.77	0.02	0.306	0.06	0.167	0.306	0.06	0.167
131	CAT_52508_101_S162_L001_R1_001	112475	5835	102117	4523	0.05	0.91	0.04	0.084	0.01	0	0.084	0.01	0
132	CAT_52508_101_S66_L001_R1_001	119743	26313	90744	2686	0.22	0.76	0.02	0.22	0.032	0	0.22	0.032	0
133	CAT_52508_105_S163_L001_R1_001	78084	3975	57156	16953	0.05	0.73	0.22	0.42	0.062	0.161	0.42	0.062	0.161
134	CAT_52508_105_S67_L001_R1_001	126998	25121	67987	33890	0.2	0.54	0.27	0.784	0.11	0.091	0.784	0.11	0.091
135	CAT_52508_106_S164_L001_R1_001	77683	3963	61336	12384	0.05	0.79	0.16	0.38	0.06	0.167	0.38	0.06	0.167
136	CAT_52508_106_S68_L001_R1_001	115419	26834	70657	17928	0.23	0.61	0.16	0.752	0.114	0.07	0.752	0.114	0.07
137	CAT_52508_111_S165_L001_R1_001	105440	5492	93521	6427	0.05	0.89	0.06	0.144	0.022	0	0.144	0.022	0
138	CAT_52508_111_S69_L001_R1_001	103048	23613	76045	3390	0.23	0.74	0.03	0.2	0.032	0	0.2	0.032	0
139	CAT_52508_114_S166_L001_R1_001	111722	5894	102625	3203	0.05	0.92	0.03	0.062	0.008	0.25	0.062	0.008	0.25
140	CAT_52508_114_S70_L001_R1_001	144564	33466	109380	1718	0.23	0.76	0.01	0.108	0.024	0.083	0.108	0.024	0.083
141	CAT_52508_115_S167_L001_R1_001	103385	5486	89773	8126	0.05	0.87	0.08	0.228	0.04	0.1	0.228	0.04	0.1
