Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
CAT_52508_056_S53_L001_R1_001	118714	23745	 90674	 4295	0.20	0.76	0.04	0.404	0.050	0.040
CAT_52508_062_S150_L001_R1_001	 91504	 4787	 78703	 8014	0.05	0.86	0.09	0.226	0.030	0.000
CAT_52508_062_S54_L001_R1_001	116101	28190	 82402	 5509	0.24	0.71	0.05	0.444	0.072	0.028
CAT_52508_064_S151_L001_R1_001	117567	 5951	105554	 6062	0.05	0.90	0.05	0.152	0.016	0.250
CAT_52508_064_S55_L001_R1_001	127250	28304	 95189	 3757	0.22	0.75	0.03	0.286	0.046	0.043
CAT_52508_065_S152_L001_R1_001	 74417	 3986	 60494	 9937	0.05	0.81	0.13	0.340	0.056	0.036
CAT_52508_069_S153_L001_R1_001	107860	 5482	 83146	19232	0.05	0.77	0.18	0.402	0.064	0.094
CAT_52508_070_S154_L001_R1_001	 66041	 3529	 55712	 6800	0.05	0.84	0.10	0.238	0.036	0.222
CAT_52508_070_S58_L001_R1_001	 99625	28183	 65223	 6219	0.28	0.65	0.06	0.532	0.096	0.042
CAT_52508_078_S155_L001_R1_001	176935	 8851	150473	17611	0.05	0.85	0.10	0.316	0.038	0.105
CAT_52508_078_S59_L001_R1_001	172357	34038	126426	11893	0.20	0.73	0.07	0.576	0.078	0.000
CAT_52508_079_S156_L001_R1_001	 68811	 2918	 48015	17878	0.04	0.70	0.26	0.440	0.050	0.080
CAT_52508_086_S157_L001_R1_001	118398	 6057	107092	 5249	0.05	0.90	0.04	0.096	0.008	0.000
CAT_52508_086_S61_L001_R1_001	137231	30925	103426	 2880	0.23	0.75	0.02	0.150	0.018	0.000
CAT_52508_087_S158_L001_R1_001	 63791	 3182	 51912	 8697	0.05	0.81	0.14	0.274	0.048	0.125
CAT_52508_087_S62_L001_R1_001	107059	24851	 71258	10950	0.23	0.67	0.10	0.606	0.108	0.074
CAT_52508_088_S159_L001_R1_001	102477	 4305	 70007	28165	0.04	0.68	0.27	0.436	0.078	0.128
CAT_52508_090_S160_L001_R1_001	 65131	 3170	 48077	13884	0.05	0.74	0.21	0.360	0.062	0.129
CAT_52508_091_S161_L001_R1_001	 78813	 3891	 73050	 1872	0.05	0.93	0.02	0.040	0.010	0.200
CAT_52508_091_S65_L001_R1_001	171219	36504	131948	 2767	0.21	0.77	0.02	0.306	0.060	0.167
CAT_52508_101_S162_L001_R1_001	112475	 5835	102117	 4523	0.05	0.91	0.04	0.084	0.010	0.000
CAT_52508_101_S66_L001_R1_001	119743	26313	 90744	 2686	0.22	0.76	0.02	0.220	0.032	0.000
CAT_52508_105_S163_L001_R1_001	 78084	 3975	 57156	16953	0.05	0.73	0.22	0.420	0.062	0.161
CAT_52508_106_S164_L001_R1_001	 77683	 3963	 61336	12384	0.05	0.79	0.16	0.380	0.060	0.167
CAT_52508_111_S165_L001_R1_001	105440	 5492	 93521	 6427	0.05	0.89	0.06	0.144	0.022	0.000
CAT_52508_111_S69_L001_R1_001	103048	23613	 76045	 3390	0.23	0.74	0.03	0.200	0.032	0.000
CAT_52508_114_S166_L001_R1_001	111722	 5894	102625	 3203	0.05	0.92	0.03	0.062	0.008	0.250
CAT_52508_114_S70_L001_R1_001	144564	33466	109380	 1718	0.23	0.76	0.01	0.108	0.024	0.083
CAT_52508_115_S167_L001_R1_001	103385	 5486	 89773	 8126	0.05	0.87	0.08	0.228	0.040	0.100
CAT_52508_115_S71_L001_R1_001	121138	27769	 87818	 5551	0.23	0.72	0.05	0.424	0.072	0.000
CAT_52508_117_S168_L001_R1_001	 48892	 2473	 44933	 1486	0.05	0.92	0.03	0.042	0.006	0.333
CAT_52508_117_S72_L001_R1_001	140676	31052	108388	 1236	0.22	0.77	0.01	0.128	0.018	0.111
CAT_52508_119_S169_L001_R1_001	 94943	 4820	 78052	12071	0.05	0.82	0.13	0.358	0.060	0.033
CAT_52508_119_S73_L001_R1_001	142573	27081	 99672	15820	0.19	0.70	0.11	0.720	0.116	0.017
CAT_52508_127_S170_L001_R1_001	 71733	 2887	 46241	22605	0.04	0.64	0.32	0.480	0.082	0.073
CAT_52508_129_S171_L001_R1_001	 66906	 3393	 57216	 6297	0.05	0.86	0.09	0.206	0.032	0.062
CAT_52508_129_S75_L001_R1_001	156461	37221	111479	 7761	0.24	0.71	0.05	0.512	0.088	0.045
CAT_52508_131_S172_L001_R1_001	 87663	 4873	 70761	12029	0.06	0.81	0.14	0.356	0.060	0.133
CAT_52508_131_S76_L001_R1_001	151535	28284	113378	 9873	0.19	0.75	0.07	0.570	0.088	0.068
CAT_52508_134_S173_L001_R1_001	 81752	 4363	 70376	 7013	0.05	0.86	0.09	0.234	0.030	0.000
CAT_52508_134_S77_L001_R1_001	104323	22928	 76810	 4585	0.22	0.74	0.04	0.346	0.050	0.000
CAT_52508_135_S174_L001_R1_001	 61144	 3088	 56252	 1804	0.05	0.92	0.03	0.048	0.006	0.333
CAT_52508_135_S78_L001_R1_001	 87664	22216	 64436	 1012	0.25	0.74	0.01	0.064	0.014	0.143
