"Sample1" "Sample2" "matchedGenotypes" "commonGenotypes" "proportionMatch" "proportionCommon" "totalLoci"
"449" "90768_064A_S22_L001_R1_001" "90768_088A_S30_L001_R1_001" 9 13 0.692307692307692 0.0273109243697479 476
"450" "90768_064A_S22_L001_R1_001" "90768_090A_S31_L001_R1_001" 0 0 NA 0 476
"451" "90768_064A_S22_L001_R1_001" "90768_104A_S32_L001_R1_001" 5 7 0.714285714285714 0.0147058823529412 476
"452" "90768_067A_S23_L001_R1_001" "90768_075A_S24_L001_R1_001" 116 150 0.773333333333333 0.315126050420168 476
"453" "90768_067A_S23_L001_R1_001" "90768_076A_S25_L001_R1_001" 67 86 0.779069767441861 0.180672268907563 476
"454" "90768_067A_S23_L001_R1_001" "90768_077A_S26_L001_R1_001" 29 43 0.674418604651163 0.0903361344537815 476
"455" "90768_067A_S23_L001_R1_001" "90768_078A_S27_L001_R1_001" 89 118 0.754237288135593 0.247899159663866 476
"456" "90768_067A_S23_L001_R1_001" "90768_083A_S28_L001_R1_001" 22 30 0.733333333333333 0.0630252100840336 476
"457" "90768_067A_S23_L001_R1_001" "90768_084A_S29_L001_R1_001" 0 0 NA 0 476
"458" "90768_067A_S23_L001_R1_001" "90768_088A_S30_L001_R1_001" 11 14 0.785714285714286 0.0294117647058824 476
"459" "90768_067A_S23_L001_R1_001" "90768_090A_S31_L001_R1_001" 0 0 NA 0 476
"460" "90768_067A_S23_L001_R1_001" "90768_104A_S32_L001_R1_001" 5 7 0.714285714285714 0.0147058823529412 476
"461" "90768_075A_S24_L001_R1_001" "90768_076A_S25_L001_R1_001" 67 88 0.761363636363636 0.184873949579832 476
"462" "90768_075A_S24_L001_R1_001" "90768_077A_S26_L001_R1_001" 34 44 0.772727272727273 0.092436974789916 476
"463" "90768_075A_S24_L001_R1_001" "90768_078A_S27_L001_R1_001" 108 143 0.755244755244755 0.300420168067227 476
"464" "90768_075A_S24_L001_R1_001" "90768_083A_S28_L001_R1_001" 21 32 0.65625 0.0672268907563025 476
"465" "90768_075A_S24_L001_R1_001" "90768_084A_S29_L001_R1_001" 0 0 NA 0 476
"466" "90768_075A_S24_L001_R1_001" "90768_088A_S30_L001_R1_001" 12 15 0.8 0.0315126050420168 476
"467" "90768_075A_S24_L001_R1_001" "90768_090A_S31_L001_R1_001" 0 0 NA 0 476
"468" "90768_075A_S24_L001_R1_001" "90768_104A_S32_L001_R1_001" 6 7 0.857142857142857 0.0147058823529412 476
"469" "90768_076A_S25_L001_R1_001" "90768_077A_S26_L001_R1_001" 27 36 0.75 0.0756302521008403 476
